trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
CNS2014-CNS_MUL-Weekday-00-4165878,05:50:00,05:50:00,750337,1,0,0
CNS2014-CNS_MUL-Weekday-00-4165878,05:50:00,05:50:00,750000,2,0,0
CNS2014-CNS_MUL-Weekday-00-4165878,05:52:00,05:52:00,750001,3,0,0
CNS2014-CNS_MUL-Weekday-00-4165878,05:54:00,05:54:00,750002,4,0,0
CNS2014-CNS_MUL-Weekday-00-4165878,05:55:00,05:55:00,750003,5,0,0
CNS2014-CNS_MUL-Weekday-00-4165878,05:57:00,05:57:00,750004,6,0,0
CNS2014-CNS_MUL-Weekday-00-4165878,05:59:00,05:59:00,750005,7,0,0
CNS2014-CNS_MUL-Weekday-00-4165878,06:00:00,06:00:00,750006,8,0,0
CNS2014-CNS_MUL-Weekday-00-4165878,06:01:00,06:01:00,750007,9,0,0
CNS2014-CNS_MUL-Weekday-00-4165878,06:02:00,06:02:00,750008,10,0,0
CNS2014-CNS_MUL-Weekday-00-4165878,06:03:00,06:03:00,750009,11,0,0
CNS2014-CNS_MUL-Weekday-00-4165878,06:04:00,06:04:00,750010,12,0,0
CNS2014-CNS_MUL-Weekday-00-4165878,06:05:00,06:05:00,750011,13,0,0
CNS2014-CNS_MUL-Weekday-00-4165878,06:05:00,06:05:00,750012,14,0,0
CNS2014-CNS_MUL-Weekday-00-4165878,06:09:00,06:09:00,750015,15,0,0
CNS2014-CNS_MUL-Weekday-00-4165878,06:11:00,06:11:00,750041,16,0,0
CNS2014-CNS_MUL-Weekday-00-4165878,06:12:00,06:12:00,750042,17,0,0
CNS2014-CNS_MUL-Weekday-00-4165878,06:15:00,06:15:00,750047,18,0,0
CNS2014-CNS_MUL-Weekday-00-4165878,06:18:00,06:18:00,750052,19,0,0
CNS2014-CNS_MUL-Weekday-00-4165878,06:22:00,06:22:00,750053,20,0,0
CNS2014-CNS_MUL-Weekday-00-4165878,06:36:00,06:36:00,750103,21,0,0
