route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165878,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165879,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165880,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165881,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165882,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165883,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165884,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165885,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165886,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165887,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165888,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165889,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165890,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165891,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165892,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165893,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165894,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165895,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165896,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165897,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165898,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165899,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165900,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165901,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165902,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165903,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165904,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165905,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165906,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165907,"The Pier Cairns Terminus",0,,1100023
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165908,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165909,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165910,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165911,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165912,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165913,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165914,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165915,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165916,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165917,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165918,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165919,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165920,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165921,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165922,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165923,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165924,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165925,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165926,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165927,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165928,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165929,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165930,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165931,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165932,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165933,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165934,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165935,"Palm Cove",1,,1100024
110-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4165936,"Palm Cove",1,,1100024
110N-423,CNS2014-CNS_MUL-Weekday-00-0000100,CNS2014-CNS_MUL-Weekday-00-4166103,"Palm Cove",1,,110N0011
110N-423,CNS2014-CNS_MUL-Weekday-00-0000100,CNS2014-CNS_MUL-Weekday-00-4166104,"Palm Cove",1,,110N0011
110N-423,CNS2014-CNS_MUL-Weekday-00-0000100,CNS2014-CNS_MUL-Weekday-00-4166105,"Palm Cove",1,,110N0011
110N-423,CNS2014-CNS_MUL-Weekday-00-0000100,CNS2014-CNS_MUL-Weekday-00-4166106,"Palm Cove",1,,110N0011
110N-423,CNS2014-CNS_MUL-Weekday-00-0000100,CNS2014-CNS_MUL-Weekday-00-4166107,"Palm Cove",1,,110N0011
110N-423,CNS2014-CNS_MUL-Weekday-00-0000100,CNS2014-CNS_MUL-Weekday-00-4166108,"The Pier Cairns Terminus",0,,110N0010
110N-423,CNS2014-CNS_MUL-Weekday-00-0000100,CNS2014-CNS_MUL-Weekday-00-4166109,"The Pier Cairns Terminus",0,,110N0010
110N-423,CNS2014-CNS_MUL-Weekday-00-0000100,CNS2014-CNS_MUL-Weekday-00-4166110,"The Pier Cairns Terminus",0,,110N0010
110N-423,CNS2014-CNS_MUL-Weekday-00-0000100,CNS2014-CNS_MUL-Weekday-00-4166111,"The Pier Cairns Terminus",0,,110N0010
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166121,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166122,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166123,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166124,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166125,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166126,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166127,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166128,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166129,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166130,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166131,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166132,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166133,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166134,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166135,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166136,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166137,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166138,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166139,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166140,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166141,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166142,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166143,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166144,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166145,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166146,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166147,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166148,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166149,"The Pier Cairns Terminus",0,,1110015
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166150,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166151,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166152,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166153,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166154,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166155,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166156,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166157,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166158,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166159,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166160,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166161,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166162,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166163,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166164,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166165,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166166,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166167,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166168,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166169,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166170,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166171,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166172,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166173,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166174,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166175,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166176,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166177,"Kewarra Beach",1,,1110016
111-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166178,"Kewarra Beach",1,,1110016
112-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166247,"Smithfield Shopping Centre",0,,1120011
112-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166248,"Smithfield Shopping Centre",0,,1120011
112-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166249,"Smithfield Shopping Centre",0,,1120011
112-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166250,"Smithfield Shopping Centre",0,,1120011
112-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166251,"Smithfield Shopping Centre",0,,1120011
112-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166252,"Smithfield Shopping Centre",0,,1120011
112-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166253,"Smithfield Shopping Centre",0,,1120011
112-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166254,"Smithfield Shopping Centre",0,,1120011
112-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166255,"Smithfield Shopping Centre",0,,1120011
112-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166256,"Smithfield Shopping Centre",0,,1120011
112-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166257,"Smithfield Shopping Centre",0,,1120011
112-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166258,"Smithfield Shopping Centre",0,,1120011
