statistic,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_duration,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_distance,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_trip_starts,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_num_vehicles,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed,mean_daily_speed
route_id,110-275,110-275,110N-275,110N-275,111-275,111-275,112-275,113-275,113-275,120-275,120-275,120N-275,121-275,121-275,122-275,122-275,123-275,123-275,130-275,130-275,131-275,131-275,131N-275,133-275,133-275,140-275,140-275,140N-275,141-275,141-275,142-275,142-275,143-275,143-275,143W-275,143W-275,150-275,150-275,150E-275,150E-275,110-275,110-275,110N-275,110N-275,111-275,111-275,112-275,113-275,113-275,120-275,120-275,120N-275,121-275,121-275,122-275,122-275,123-275,123-275,130-275,130-275,131-275,131-275,131N-275,133-275,133-275,140-275,140-275,140N-275,141-275,141-275,142-275,142-275,143-275,143-275,143W-275,143W-275,150-275,150-275,150E-275,150E-275,110-275,110-275,110N-275,110N-275,111-275,111-275,112-275,113-275,113-275,120-275,120-275,120N-275,121-275,121-275,122-275,122-275,123-275,123-275,130-275,130-275,131-275,131-275,131N-275,133-275,133-275,140-275,140-275,140N-275,141-275,141-275,142-275,142-275,143-275,143-275,143W-275,143W-275,150-275,150-275,150E-275,150E-275,110-275,110-275,110N-275,110N-275,111-275,111-275,112-275,113-275,113-275,120-275,120-275,120N-275,121-275,121-275,122-275,122-275,123-275,123-275,130-275,130-275,131-275,131-275,131N-275,133-275,133-275,140-275,140-275,140N-275,141-275,141-275,142-275,142-275,143-275,143-275,143W-275,143W-275,150-275,150-275,150E-275,150E-275,110-275,110-275,110N-275,110N-275,111-275,111-275,112-275,113-275,113-275,120-275,120-275,120N-275,121-275,121-275,122-275,122-275,123-275,123-275,130-275,130-275,131-275,131-275,131N-275,133-275,133-275,140-275,140-275,140N-275,141-275,141-275,142-275,142-275,143-275,143-275,143W-275,143W-275,150-275,150-275,150E-275,150E-275
direction_id,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01 00:00:00,,0.03333333333333333,0.03333333333333333,0.06666666666666667,,0.6,,,,,,,,,,,,0.25,,,,,,,0.19999999999999998,,0.06666666666666667,0.11666666666666665,,,,,,,,,,,,,,1.204423076923077,1.0255384615384617,3.4026923076923077,,21.866785714285715,,,,,,,,,,,,7.325571428571428,,,,,,,5.5870588235294125,,1.991265306122449,4.516,,,,,,,,,,,,,,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,1.0,0.2,0.2,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,0.19999999999999998,,,,,,,,,,,,,,36.13269230769231,30.766153846153852,51.04038461538462,,36.44464285714286,,,,,,,,,,,,29.302285714285713,,,,,,,27.935294117647064,,29.868979591836734,38.70857142857143,,,,,,,,,,,,
2000-01-01 01:00:00,,,0.1733333333333333,0.1733333333333333,,,,,,,,,,,,,,,,,,,,,,,,0.11666666666666665,,,,,,,,,,,,,,,5.332800000000001,8.847000000000001,,,,,,,,,,,,,,,,,,,,,,,,4.516,,,,,,,,,,,,,,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,0.19999999999999998,0.19999999999999998,,,,,,,,,,,,,,,,,,,,,,,,0.19999999999999998,,,,,,,,,,,,,,,30.766153846153856,51.04038461538463,,,,,,,,,,,,,,,,,,,,,,,,38.70857142857143,,,,,,,,,,,,
2000-01-01 02:00:00,,,0.1733333333333333,0.1733333333333333,,,,,,,,,,,,,,,,,,,,,,,,0.11666666666666665,,,,,,,,,,,,,,,5.332800000000001,8.847000000000001,,,,,,,,,,,,,,,,,,,,,,,,4.516,,,,,,,,,,,,,,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,0.19999999999999998,0.19999999999999998,,,,,,,,,,,,,,,,,,,,,,,,0.19999999999999998,,,,,,,,,,,,,,,30.766153846153856,51.04038461538463,,,,,,,,,,,,,,,,,,,,,,,,38.70857142857143,,,,,,,,,,,,
2000-01-01 03:00:00,,,0.1733333333333333,0.1733333333333333,,,,,,,,,,,,,,,,,,,,,,,,0.11666666666666665,,,,,,,,,,,,,,,5.332800000000001,8.847000000000001,,,,,,,,,,,,,,,,,,,,,,,,4.516,,,,,,,,,,,,,,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,0.19999999999999998,0.19999999999999998,,,,,,,,,,,,,,,,,,,,,,,,0.19999999999999998,,,,,,,,,,,,,,,30.766153846153856,51.04038461538463,,,,,,,,,,,,,,,,,,,,,,,,38.70857142857143,,,,,,,,,,,,
2000-01-01 04:00:00,,,0.13999999999999999,0.1733333333333333,,,,,,,,,,,,,,,,,,,,,,,,0.11666666666666665,,,,,,,,,,,,,,,4.307261538461539,8.847000000000001,,,,,,,,,,,,,,,,,,,,,,,,4.516,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,0.19999999999999998,0.19999999999999998,,,,,,,,,,,,,,,,,,,,,,,,0.19999999999999998,,,,,,,,,,,,,,,30.766153846153852,51.04038461538463,,,,,,,,,,,,,,,,,,,,,,,,38.70857142857143,,,,,,,,,,,,
2000-01-01 05:00:00,0.15,,,0.10666666666666666,,,,,,0.39999999999999997,,,,,,,,,,,,,,,,0.2833333333333333,,,,,,,,,,,,,,,4.940084745762711,,,5.444307692307692,,,,,,13.497795918367345,,,,,,,,,,,,,,,,7.242962264150943,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,0.19999999999999998,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,32.93389830508474,,,51.04038461538462,,,,,,33.74448979591836,,,,,,,,,,,,,,,,25.563396226415094,,,,,,,,,,,,,,
2000-01-01 06:00:00,1.6333333333333333,,,,1.4000000000000001,,,0.9666666666666667,,0.8166666666666668,,,0.23333333333333334,0.49999999999999994,,0.7000000000000001,1.2666666666666664,0.36666666666666664,0.49999999999999994,0.4666666666666666,0.4333333333333333,,,0.6333333333333333,,1.6666666666666667,,,0.08333333333333333,0.3,0.5666666666666667,,0.4333333333333333,0.2,,,0.49999999999999994,0.5833333333333333,,,53.792033898305085,,,,46.80425806451613,,,37.61452631578947,,27.557999999999993,,,7.301875000000001,16.2234375,,25.425,35.547599999999996,10.68621052631579,10.799000000000001,10.213241379310345,10.656533333333332,,,15.120000000000001,,42.60566037735849,,,1.718157894736842,6.032368421052631,15.054943396226413,,9.111916666666666,4.351428571428571,,,16.019,19.419749999999997,,,2.0,,,,2.0,,,2.0,,1.0,,,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,2.0,,,1.0,1.0,2.0,,1.0,1.0,,,1.0,1.0,,,1.6333333333333335,,,,1.45,,,1.16,,1.0,,,1.0,1.0,,1.0,1.6,1.0,1.0,1.0,1.0,,,1.0,,1.6666666666666667,,,1.0,1.0,1.0571428571428572,,1.0,1.0,,,1.0,1.0,,,32.933898305084746,,,,33.431612903225805,,,38.91157894736842,,33.744489795918355,,,31.293750000000003,32.446875000000006,,36.32142857142857,28.06389473684211,29.144210526315792,21.598000000000006,21.88551724137931,24.592,,,23.873684210526317,,25.563396226415094,,,20.617894736842107,20.107894736842105,26.567547169811316,,21.0275,21.757142857142856,,,32.038000000000004,33.291,,
