route_id,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
110-275-0,,,,,,4940.084745762711,53792.03389830507,64769.99999999998,64769.99999999998,64769.99999999998,64769.99999999998,64769.99999999998,64769.99999999998,64769.99999999998,64769.99999999998,64769.99999999998,64769.99999999998,64769.99999999998,67693.93904823989,32384.99999999998,32384.99999999998,32384.99999999998,32384.99999999998,3113.9423076923076
110-275-1,1204.423076923077,,,,,,,37793.965517241355,62630.00000000003,62630.00000000003,62630.00000000003,62630.00000000003,62630.00000000003,62630.00000000003,62630.00000000003,62630.00000000003,62630.00000000003,62630.00000000003,63875.954907161824,53700.65649867377,31315.00000000002,31315.00000000002,31315.00000000002,31315.00000000002
110N-275-0,1025.5384615384614,5332.800000000003,5332.800000000003,5332.800000000003,4307.26153846154,,,,,,,,,,,,,,,,,,,
110N-275-1,3402.692307692307,8846.999999999996,8846.999999999996,8846.999999999996,8846.999999999996,5444.307692307691,,,,,,,,,,,,,,,,,,
111-275-0,,,,,,,46804.258064516165,69092.00000000009,69092.00000000009,69092.00000000009,69092.00000000009,69092.00000000009,69092.00000000009,69092.00000000009,69092.00000000009,69092.00000000009,69092.00000000009,69092.00000000009,35242.4919354839,34546.00000000003,34546.00000000003,34546.00000000003,34546.00000000003,21591.250000000007
111-275-1,21866.785714285706,,,,,,,22304.918032786885,68030.00000000009,68030.00000000009,68030.00000000009,68030.00000000009,68030.00000000009,68030.00000000009,68030.00000000009,68030.00000000009,68030.00000000009,68030.00000000009,68278.93881733029,57624.357435597245,34014.99999999999,34014.99999999999,34014.99999999999,34014.99999999999
112-275-1,,,,,,,,4263.571428571428,23876.000000000007,23876.000000000007,23876.000000000007,23876.000000000007,23876.000000000007,23876.000000000007,23876.000000000007,23876.000000000007,23876.000000000007,23876.000000000007,23876.000000000007,23876.000000000007,23876.000000000007,23876.000000000007,19612.428571428576,
113-275-0,,,,,,,37614.52631578946,28866.96205630354,7450.511627906974,,,,,,,,,,,,,,,
113-275-1,,,,,,,,,,,,,,,,,24059.999999999993,24059.999999999993,24059.999999999993,,,,,
120-275-0,,,,,,13497.795918367354,27558.000000000025,27558.000000000025,27558.000000000025,27558.000000000025,27558.000000000025,27558.000000000025,27558.000000000025,27558.000000000025,27558.000000000025,27558.000000000025,27558.000000000025,27558.000000000025,27558.000000000025,27558.000000000025,27558.000000000025,27558.000000000025,14060.20408163266,
120-275-1,,,,,,,,28192.000000000004,28192.000000000004,28192.000000000004,28192.000000000004,28192.000000000004,28192.000000000004,28192.000000000004,28192.000000000004,28192.000000000004,28192.000000000004,28192.000000000004,28192.000000000004,28192.000000000004,28192.000000000004,28192.000000000004,,
120N-275-1,,,,,,,,,,,,,,,,,,,,,,,39436.000000000044,39436.000000000044
121-275-0,,,,,,,7301.875,33380.0,33380.0,26078.125,16690.0,16690.0,16690.0,16690.0,16690.0,16690.0,16690.0,16690.0,16690.0,16690.0,16690.0,,,
121-275-1,,,,,,,16223.4375,17305.0,17305.0,17305.0,17305.0,17305.0,17305.0,17305.0,17305.0,17305.0,17305.0,34610.0,17305.0,17305.0,17305.0,17305.0,1081.5625,
122-275-0,,,,,,,,15858.000000000005,15858.000000000005,15858.000000000005,15858.000000000005,15858.000000000005,15858.000000000005,15858.000000000005,15858.000000000005,15858.000000000005,15858.000000000005,30583.28571428568,16990.71428571429,15858.000000000005,15858.000000000005,15858.000000000005,,
122-275-1,,,,,,,25424.99999999998,33899.99999999996,33899.99999999996,16950.000000000004,16950.000000000004,16950.000000000004,16950.000000000004,16950.000000000004,16950.000000000004,16950.000000000004,16950.000000000004,16950.000000000004,16950.000000000004,16950.000000000004,8475.000000000002,,,
123-275-0,,,,,,,35547.600000000035,36168.99999999998,36227.583333333336,36264.0,36264.0,36264.0,36264.0,36264.0,36264.0,36264.0,36264.0,36264.0,36264.0,29303.000000000044,28768.81666666667,17536.000000000004,17536.000000000004,
123-275-1,7325.571428571428,,,,,,10686.210526315792,34223.99999999999,34223.99999999999,34223.99999999999,34223.99999999999,34223.99999999999,34223.99999999999,34223.99999999999,34223.99999999999,34223.99999999999,34223.99999999999,34223.99999999999,34223.99999999999,26768.21804511275,17092.999999999996,17092.999999999996,17092.999999999996,17092.999999999996
130-275-0,,,,,,,10798.999999999998,10798.999999999998,10798.999999999998,10798.999999999998,10798.999999999998,10798.999999999998,10798.999999999998,10798.999999999998,10798.999999999998,10798.999999999998,10798.999999999998,10798.999999999998,10798.999999999998,10798.999999999998,10798.999999999998,10798.999999999998,,
130-275-1,,,,,,,10213.241379310346,10578.000000000002,10578.000000000002,10578.000000000002,10578.000000000002,10578.000000000002,10578.000000000002,10578.000000000002,10578.000000000002,10578.000000000002,10578.000000000002,10578.000000000002,10578.000000000002,10578.000000000002,10578.000000000002,10578.000000000002,10578.000000000002,364.7586206896552
131-275-0,,,,,,,10656.533333333335,12296.000000000002,12296.000000000002,12296.000000000002,12296.000000000002,12296.000000000002,12296.000000000002,12296.000000000002,12296.000000000002,12296.000000000002,12296.000000000002,12296.000000000002,12296.000000000002,12296.000000000002,12296.000000000002,12296.000000000002,1639.4666666666667,
131-275-1,,,,,,,,11946.000000000007,11946.000000000007,11946.000000000007,11946.000000000007,11946.000000000007,11946.000000000007,11946.000000000007,11946.000000000007,11946.000000000007,11946.000000000007,11946.000000000007,11946.000000000007,11946.000000000007,11946.000000000007,11946.000000000007,11946.000000000007,
131N-275-1,,,,,,,,,,,,,,,,,,,,,,,,8447.0
133-275-0,,,,,,,15119.999999999993,15119.999999999993,15119.999999999993,15119.999999999993,15119.999999999993,15119.999999999993,15119.999999999993,15119.999999999993,15119.999999999993,15119.999999999993,15119.999999999993,15119.999999999993,15119.999999999993,15119.99999999999,15119.99999999999,15119.99999999999,15119.99999999999,15119.99999999999
133-275-1,5587.058823529413,,,,,,,15918.736842105276,15830.00000000001,15830.00000000001,15830.00000000001,15830.00000000001,15830.00000000001,15830.00000000001,15830.00000000001,15830.00000000001,15830.00000000001,15830.00000000001,16908.204334365317,15829.999999999995,15829.999999999995,15829.999999999995,15829.999999999995,15829.999999999995
140-275-0,,,,,,7242.962264150946,42605.660377358465,45161.99999999997,45161.99999999997,45161.99999999997,31528.18867924526,22580.999999999985,22580.999999999985,22580.999999999985,22580.999999999985,36214.81132075469,45161.99999999997,45161.99999999997,25137.33962264149,15338.037735849051,,,,
140-275-1,1991.265306122449,,,,,,,27614.716981132096,48785.99999999999,34978.641509433975,24392.99999999999,24392.99999999999,24392.99999999999,24392.99999999999,38200.35849056602,48785.99999999999,48785.99999999999,48785.99999999999,21171.283018867925,,,,22401.734693877566,24393.000000000022
140N-275-1,4515.999999999999,4515.999999999999,4515.999999999999,4515.999999999999,4515.999999999999,,,,,,,,,,,,,,,,,,,
141-275-0,,,,,,,1718.157894736842,25085.10526315792,26116.00000000003,26116.00000000003,26116.00000000003,26116.00000000003,26116.00000000003,26116.00000000003,26116.00000000003,26116.00000000003,26116.00000000003,26116.00000000003,24397.842105263197,1030.8947368421054,,,,
141-275-1,,,,,,,6032.368421052631,25470.000000000015,25470.000000000015,25470.000000000015,25470.000000000015,25470.000000000015,25470.000000000015,25470.000000000015,25470.000000000015,25470.000000000015,25470.000000000015,25470.000000000015,6702.631578947367,,,,,
142-275-0,,,,,,,15054.943396226405,46935.99999999996,46935.99999999996,46935.99999999996,32766.64150943394,23467.99999999998,23467.99999999998,23467.99999999998,23467.99999999998,37637.35849056601,46935.99999999996,46935.99999999996,32766.64150943394,30109.886792452806,15940.528301886781,,,
142-275-1,,,,,,,,13574.150943396231,47962.00000000002,34387.84905660379,23981.00000000001,23981.00000000001,23981.00000000001,23981.00000000001,37555.15094339624,47962.00000000002,47962.00000000002,47962.00000000002,41174.924528301905,23981.00000000001,23981.00000000001,23981.00000000001,17193.924528301894,
