route_id,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
110-275-0,,,,,,540.0,5880.0,7080.0,7080.0,7080.0,7080.0,7080.0,7080.0,7080.0,7080.0,7080.0,7080.0,7080.0,7020.0,3120.0,3120.0,3120.0,3120.0,300.0
110-275-1,120.0,,,,,,,4200.0,6960.0,6960.0,6960.0,6960.0,6960.0,6960.0,6960.0,6960.0,6960.0,6960.0,6960.0,5400.0,3120.0,3120.0,3120.0,3120.0
110N-275-0,120.0,624.0,624.0,624.0,504.0,,,,,,,,,,,,,,,,,,,
110N-275-1,240.0,624.0,624.0,624.0,624.0,384.0,,,,,,,,,,,,,,,,,,
111-275-0,,,,,,,5040.0,7440.0,7440.0,7440.0,7440.0,7440.0,7440.0,7440.0,7440.0,7440.0,7440.0,7440.0,3660.0,3360.0,3360.0,3360.0,3360.0,2100.0
111-275-1,2160.0,,,,,,,2400.0,7320.0,7320.0,7320.0,7320.0,7320.0,7320.0,7320.0,7320.0,7320.0,7320.0,7320.0,5820.0,3360.0,3360.0,3360.0,3360.0
112-275-1,,,,,,,,300.0,2160.0,2160.0,2160.0,2160.0,2160.0,2160.0,2160.0,2160.0,2160.0,2160.0,2160.0,2160.0,2160.0,2160.0,1860.0,
113-275-0,,,,,,,3480.0,2880.0,780.0,,,,,,,,,,,,,,,
113-275-1,,,,,,,,,,,,,,,,,2220.0,2220.0,2220.0,,,,,
120-275-0,,,,,,1440.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,1500.0,
120-275-1,,,,,,,,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,,
120N-275-1,,,,,,,,,,,,,,,,,,,,,,,2940.0,2940.0
121-275-0,,,,,,,840.0,3840.0,3840.0,3000.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,,,
121-275-1,,,,,,,1800.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,3840.0,1920.0,1920.0,1920.0,1920.0,120.0,
122-275-0,,,,,,,,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,3240.0,1800.0,1680.0,1680.0,1680.0,,
122-275-1,,,,,,,2520.0,3360.0,3360.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,840.0,,,
123-275-0,,,,,,,4560.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,3600.0,3420.0,2040.0,2040.0,
123-275-1,900.0,,,,,,1320.0,4560.0,4560.0,4560.0,4560.0,4560.0,4560.0,4560.0,4560.0,4560.0,4560.0,4560.0,4560.0,3300.0,2100.0,2100.0,2100.0,2100.0
130-275-0,,,,,,,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,,
130-275-1,,,,,,,1680.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,60.0
131-275-0,,,,,,,1560.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,240.0,
