stop_id,direction_id,min_start_time,max_end_time,mean_daily_num_vehicles,max_headway,mean_headway
750000,0,05:51:00,22:13:00,30.0,1800.0,1778.0
750000,1,,,0.0,,
750001,0,05:53:00,22:15:00,30.0,1800.0,1778.0
750001,1,,,0.0,,
750002,0,05:55:00,22:17:00,30.0,1800.0,1778.0
750002,1,,,0.0,,
750003,0,05:56:00,22:18:00,30.0,1800.0,1778.0
750003,1,,,0.0,,
750004,0,05:58:00,22:20:00,30.0,1800.0,1778.0
750004,1,,,0.0,,
750005,0,06:00:00,22:22:00,30.0,1800.0,1779.0
750005,1,,,0.0,,
750006,0,06:01:00,22:23:00,30.0,1800.0,1779.0
750006,1,,,0.0,,
750007,0,06:02:00,22:24:00,30.0,1800.0,1779.0
750007,1,,,0.0,,
750008,0,06:03:00,22:25:00,30.0,1800.0,1779.0
750008,1,,,0.0,,
750009,0,06:04:00,22:26:00,30.0,1800.0,1779.0
750009,1,,,0.0,,
750010,0,06:05:00,22:27:00,30.0,1800.0,1779.0
750010,1,,,0.0,,
750011,0,06:06:00,22:28:00,30.0,1800.0,1779.0
750011,1,,,0.0,,
750012,0,06:06:00,22:28:00,30.0,1800.0,1779.0
750012,1,,,0.0,,
750013,0,06:03:00,22:39:00,29.0,3960.0,1898.0
750013,1,,,0.0,,
750014,0,06:08:00,22:44:00,29.0,3960.0,1898.0
750014,1,,,0.0,,
750015,0,06:10:00,22:46:00,59.0,1800.0,908.0
750015,1,,,0.0,,
750016,0,06:12:00,22:48:00,29.0,3960.0,1898.0
750016,1,,,0.0,,
750017,0,06:13:00,22:49:00,29.0,3960.0,1898.0
750017,1,,,0.0,,
750018,0,06:15:00,22:51:00,29.0,3960.0,1898.0
750018,1,08:14:00,24:24:00,29.0,1800.0,1800.0
750019,0,,,0.0,,
750019,1,08:14:00,24:24:00,29.0,1800.0,1800.0
750020,0,06:16:00,22:52:00,29.0,3960.0,1898.0
750020,1,,,0.0,,
750021,0,06:18:00,22:54:00,29.0,3960.0,1898.0
750021,1,,,0.0,,
750022,0,,,0.0,,
750022,1,08:17:00,24:27:00,29.0,1800.0,1800.0
750024,0,,,0.0,,
750024,1,08:11:00,24:21:00,29.0,1800.0,1800.0
750025,0,,,0.0,,
750025,1,08:11:00,24:21:00,29.0,1800.0,1800.0
750026,0,,,0.0,,
750026,1,08:12:00,24:22:00,29.0,1800.0,1800.0
750027,0,,,0.0,,
750027,1,08:15:00,24:25:00,29.0,1800.0,1800.0
750028,0,,,0.0,,
750028,1,07:49:00,24:28:00,58.0,1740.0,900.0
750029,0,,,0.0,,
750029,1,08:21:00,24:31:00,29.0,1800.0,1800.0
750030,0,,,0.0,,
750030,1,08:23:00,24:33:00,29.0,1800.0,1800.0
750031,0,,,0.0,,
750031,1,08:24:00,24:34:00,29.0,1800.0,1800.0
750032,0,,,0.0,,
750032,1,08:24:00,24:34:00,29.0,1800.0,1800.0
750033,0,,,0.0,,
750033,1,08:26:00,24:36:00,29.0,1800.0,1800.0
750034,0,,,0.0,,
750034,1,07:52:00,23:46:00,29.0,1800.0,1800.0
750035,0,,,0.0,,
750035,1,07:53:00,23:47:00,29.0,1800.0,1800.0
750036,0,,,0.0,,
750036,1,07:58:00,23:52:00,29.0,1800.0,1800.0
750037,0,,,0.0,,
750037,1,07:58:00,23:52:00,29.0,1800.0,1800.0
750038,0,,,0.0,,
750038,1,08:00:00,23:54:00,29.0,1800.0,1800.0
750039,0,,,0.0,,
750039,1,08:05:00,23:59:00,29.0,1800.0,1800.0
750040,0,,,0.0,,
750040,1,08:06:00,29:31:00,30.0,1800.0,1800.0
750041,0,06:12:00,22:32:00,30.0,1800.0,1774.0
750041,1,,,0.0,,
750042,0,06:13:00,22:34:00,30.0,1800.0,1777.0
750042,1,,,0.0,,
750043,0,,,0.0,,
750043,1,07:45:00,23:40:00,29.0,1800.0,1800.0
750044,0,,,0.0,,
750044,1,08:04:00,24:14:00,29.0,1800.0,1800.0
750045,0,06:27:00,23:03:00,29.0,1800.0,1800.0
750045,1,,,0.0,,
750046,0,06:28:00,23:04:00,29.0,1800.0,1800.0
750046,1,08:21:00,22:21:00,15.0,3600.0,3600.0
750047,0,06:16:00,23:06:00,89.0,900.0,587.0
750047,1,06:16:00,24:09:00,118.0,1140.0,454.0
750048,0,,,0.0,,
750048,1,06:17:00,22:25:00,32.0,2280.0,1725.0
750049,0,,,0.0,,
750049,1,06:19:00,22:27:00,32.0,2280.0,1725.0
750050,0,07:27:00,21:27:00,16.0,3600.0,3300.0
750050,1,07:57:00,21:57:00,15.0,3600.0,3600.0
750051,0,,,0.0,,
750051,1,08:01:00,24:11:00,44.0,1800.0,1181.0
750052,0,06:19:00,23:08:00,59.0,1140.0,905.0
750052,1,,,0.0,,
750053,0,05:36:00,23:11:00,90.0,900.0,594.0
750053,1,06:22:00,23:51:00,64.0,2160.0,866.0
750054,0,05:37:00,21:37:00,17.0,3600.0,3600.0
750054,1,,,0.0,,
750055,0,06:15:00,07:35:00,3.0,,
750055,1,16:30:00,18:30:00,3.0,3600.0,3600.0
750056,0,06:15:00,07:35:00,3.0,,
750056,1,08:09:00,22:09:00,33.0,3600.0,1553.0
750057,0,06:16:00,07:36:00,3.0,,
750057,1,08:10:00,22:10:00,18.0,3600.0,2866.0
750058,0,06:17:00,07:37:00,3.0,,
750058,1,08:10:00,22:10:00,18.0,3600.0,2866.0
750059,0,06:18:00,07:38:00,3.0,,
750059,1,08:12:00,22:12:00,18.0,3600.0,2862.0
750060,0,06:18:00,07:38:00,3.0,,
750060,1,08:12:00,22:12:00,18.0,3600.0,2862.0
750061,0,06:20:00,07:40:00,3.0,,
750061,1,08:13:00,22:13:00,18.0,3600.0,2866.0
750062,0,06:20:00,07:40:00,3.0,,
750062,1,08:13:00,22:13:00,18.0,3600.0,2871.0
750063,0,06:21:00,07:41:00,3.0,,
750063,1,08:14:00,22:14:00,18.0,3600.0,2871.0
